(2025-01-01 17:50:51,804) | root| INFO | => Thread completed
(2025-01-01 17:51:10,391) | root| INFO | => Thread completed
(2025-01-01 17:57:43,399) | root| INFO | => Thread completed
(2025-01-01 17:57:54,316) | root| INFO | => Thread completed
(2025-01-01 17:58:14,088) | root| INFO | => Thread completed
(2025-01-01 17:58:23,756) | root| INFO | => Thread completed
(2025-01-01 17:58:31,414) | root| INFO | => Thread completed
(2025-01-01 17:58:38,594) | root| INFO | => Thread completed
(2025-01-01 17:58:49,261) | root| INFO | => Thread completed
(2025-01-01 17:59:00,885) | root| INFO | => Thread completed
(2025-01-01 17:59:18,339) | root| INFO | => Thread completed
(2025-01-01 18:00:15,134) | root| INFO | => Thread completed
(2025-01-01 18:00:54,396) | root| INFO | => Thread completed
(2025-01-01 18:01:34,897) | root| INFO | => Thread completed
(2025-01-01 18:02:09,052) | root| INFO | => Thread completed
(2025-01-01 18:02:36,851) | root| INFO | => Thread completed
(2025-01-01 18:12:04,605) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-01 18:12:09,799) | root| INFO | => Thread completed
(2025-01-01 18:42:23,896) | root| INFO | => Thread completed
(2025-01-01 18:42:33,147) | root| INFO | => Thread completed
(2025-01-01 18:42:57,046) | root| INFO | => Thread completed
(2025-01-01 18:43:07,399) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-01 18:43:12,505) | root| INFO | => Thread completed
(2025-01-01 18:43:20,533) | root| INFO | => Thread completed
(2025-01-01 18:43:28,379) | root| INFO | => Thread completed
(2025-01-01 18:43:37,375) | root| INFO | => Thread completed
(2025-01-01 18:43:47,009) | root| INFO | => Thread completed
(2025-01-01 18:43:59,077) | root| INFO | => Thread completed
(2025-01-01 18:44:07,141) | root| INFO | => Thread completed
(2025-01-01 18:44:15,873) | root| INFO | => Thread completed
(2025-01-01 18:44:21,552) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-01 18:44:26,720) | root| INFO | => Thread completed
(2025-01-01 18:44:34,752) | root| INFO | => Thread canceled - Remaining time: 2 seconds
(2025-01-01 18:44:39,915) | root| INFO | => Thread completed
(2025-01-01 18:44:47,622) | root| INFO | => Thread completed
(2025-01-01 18:44:56,934) | root| INFO | => Thread completed
(2025-01-01 18:45:17,757) | root| INFO | => Thread completed
(2025-01-01 18:45:27,622) | root| INFO | => Thread completed
(2025-01-01 18:45:39,197) | root| INFO | => Thread completed
(2025-01-01 18:45:47,732) | root| INFO | => Thread completed
(2025-01-06 22:25:22,210) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-06 22:25:27,445) | root| INFO | => Thread canceled - Remaining time: 0 seconds
(2025-01-06 22:25:31,511) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-06 22:25:35,583) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-06 22:25:40,799) | root| INFO | => Thread completed
(2025-01-06 22:28:10,049) | root| INFO | => Thread completed
(2025-01-06 22:28:15,260) | root| INFO | => Thread completed
(2025-01-06 22:28:26,071) | root| INFO | => Thread completed
(2025-01-06 22:28:33,823) | root| INFO | => Thread completed
(2025-01-06 22:28:49,457) | root| INFO | => Thread completed
(2025-01-06 22:29:41,317) | root| INFO | => Thread canceled - Remaining time: 2 seconds
(2025-01-06 22:29:46,541) | root| INFO | => Thread completed
(2025-01-06 22:30:07,725) | root| INFO | => Thread completed
(2025-01-06 22:30:19,122) | root| INFO | => Thread completed
(2025-01-06 22:30:25,965) | root| INFO | => Thread completed
(2025-01-06 22:30:38,067) | root| INFO | => Thread completed
(2025-01-06 22:33:10,918) | root| INFO | => Thread completed
(2025-01-06 22:33:14,413) | root| INFO | => Thread canceled - Remaining time: 3 seconds
(2025-01-06 22:33:19,465) | root| INFO | => Thread completed
(2025-01-06 22:33:40,021) | root| INFO | => Thread canceled - Remaining time: 2 seconds
(2025-01-06 22:35:44,690) | root| INFO | => Thread completed
(2025-01-06 22:35:59,140) | root| INFO | => Thread completed
(2025-01-06 22:44:46,334) | root| INFO | => Thread completed
(2025-01-06 22:44:54,652) | root| INFO | => Thread completed
(2025-01-06 22:45:04,238) | root| INFO | => Thread completed
(2025-01-06 22:45:11,820) | root| INFO | => Thread completed
(2025-01-06 22:45:21,592) | root| INFO | => Thread completed
(2025-01-06 22:45:29,622) | root| INFO | => Thread completed
(2025-01-06 22:46:53,583) | root| INFO | => Thread completed
(2025-01-06 22:47:00,303) | root| INFO | => Thread completed
(2025-01-06 22:47:07,487) | root| INFO | => Thread completed
(2025-01-06 22:47:14,021) | root| INFO | => Thread completed
(2025-01-06 22:47:24,902) | root| INFO | => Thread completed
(2025-01-06 22:48:20,231) | root| INFO | => Thread completed
(2025-01-06 22:48:27,253) | root| INFO | => Thread completed
(2025-01-06 22:48:34,652) | root| INFO | => Thread completed
(2025-01-06 22:48:41,649) | root| INFO | => Thread completed
(2025-01-06 22:48:58,236) | root| INFO | => Thread completed
(2025-01-06 22:49:05,176) | root| INFO | => Thread completed
(2025-01-06 22:50:05,779) | root| INFO | => Thread completed
(2025-01-06 22:50:15,261) | root| INFO | => Thread completed
(2025-01-06 22:50:27,134) | root| INFO | => Thread completed
(2025-01-06 22:50:33,750) | root| INFO | => Thread completed
(2025-01-06 22:52:11,860) | root| INFO | => Thread completed
(2025-01-06 22:52:32,413) | root| INFO | => Thread completed
(2025-01-06 22:53:50,649) | root| INFO | => Thread completed
(2025-01-06 22:53:59,334) | root| INFO | => Thread completed
(2025-01-06 22:54:50,573) | root| INFO | => Thread completed
(2025-01-06 22:55:45,941) | root| INFO | => Thread canceled - Remaining time: 2 seconds
(2025-01-06 22:58:01,229) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-06 22:58:06,467) | root| INFO | => Thread completed
(2025-01-06 22:58:17,371) | root| INFO | => Thread completed
(2025-01-06 22:59:37,080) | root| INFO | => Thread completed
(2025-01-06 22:59:43,354) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-06 22:59:48,656) | root| INFO | => Thread completed
(2025-01-06 22:59:59,226) | root| INFO | => Thread completed
(2025-01-06 23:00:09,977) | root| INFO | => Thread completed
(2025-01-06 23:00:45,662) | root| INFO | => Thread completed
(2025-01-06 23:00:56,688) | root| INFO | => Thread completed
(2025-01-06 23:01:34,829) | root| INFO | => Thread completed
(2025-01-06 23:01:44,611) | root| INFO | => Thread completed
(2025-01-06 23:02:09,004) | root| INFO | => Thread completed
(2025-01-06 23:02:17,487) | root| INFO | => Thread completed
(2025-01-06 23:04:51,088) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-06 23:04:56,416) | root| INFO | => Thread completed
(2025-01-06 23:05:05,805) | root| INFO | => Thread completed
(2025-01-06 23:07:36,224) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-06 23:07:41,523) | root| INFO | => Thread completed
(2025-01-06 23:07:49,591) | root| INFO | => Thread canceled - Remaining time: 2 seconds
(2025-01-06 23:07:53,659) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-06 23:09:03,415) | root| INFO | => Thread canceled - Remaining time: 1 seconds
(2025-01-06 23:09:08,837) | root| INFO | => Thread completed
(2025-01-06 23:09:15,459) | root| INFO | => Thread canceled - Remaining time: 2 seconds
